STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC  : Min,TEMPERATURE ºC  : Max,TEMPERATURE ºC  : Mean,D.O. (mg/l)  : Min  : > 4 mg/l,D.O. (mg/l)  : Max  : > 4 mg/l,D.O. (mg/l)  : Mean  : > 4 mg/l,pH  : Min  : 6.5-8.5,pH  : Max  : 6.5-8.5,pH  : Mean  : 6.5-8.5,CONDUCTIVITY (µmhos/cm)  : Min,CONDUCTIVITY (µmhos/cm)  : Max,CONDUCTIVITY (µmhos/cm)  : Mean,B.O.D. (mg/l)  : Min  : < 3 mg/l,B.O.D. (mg/l)  : Max  : < 3 mg/l,B.O.D. (mg/l)  : Mean  : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l)  : Min,NITRATE- N+ NITRITE-N (mg/l)  : Max,NITRATE- N+ NITRITE-N (mg/l)  : Mean,FECAL COLIFORM (MPN/100ml)  : Min  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Max  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Mean  : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Min  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Max  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Mean  : < 5000 MPN/100ml
2365,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH,0,30,17.2,3.2,7.1,5.8,7.8,8.6,8.2,352,528,443,4,12,6.9,0,0,0,NA,NA,NA,NA,NA,NA
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH,0,30,17.2,2.8,7.5,5.5,7.6,8.4,8.1,352,654,443,3,12,7.1,0,0,0,NA,NA,NA,NA,NA,NA
13,"GODAVARI AT MANCHERIAL, A.P.",ANDHRA PRADESH,0,29,21.8,4.4,6.9,5.6,8.2,8.6,8.4,510,620,558,3,12,6.1,0,0,0,NA,NA,NA,NA,NA,NA
2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,20,21,20.4,6.6,7.4,7.2,7.7,8.1,7.9,357,485,425,0.5,0.7,0.6,0.3,0.5,0.4,2,2,2,1100,2100,1488
2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,20,27,21.1,3,7,6.1,7.8,8.3,8.1,382,489,430,0.8,1.4,1.1,0.4,0.7,0.6,2,4,4,2100,2200,2150
2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH,18,27,20.6,5.2,6.6,6.2,7.2,8,7.7,446,697,577,0.7,1.4,1.1,0.6,1,0.8,2,2,2,2100,2200,2138
2370,GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,ANDHRA PRADESH,24,27,25.3,5,6,5.3,7.1,7.7,7.4,203,427,322,1,1.3,1,0,1.2,0.5,3,460,125,120,2400,795
14,"GODAVARI AT POLAVARAM, A.P.",ANDHRA PRADESH,25,28,27.3,4.8,6.2,5.5,7.5,8.5,8,256,514,320,1,14,2.6,0.254,1.78,0.5,3,7,5,9,210,52
1218,"GODAVARI AT RAJAHMUNDRY U/S, A.P.",ANDHRA PRADESH,24,28,26.5,5,6.4,5.4,7.7,8.1,7.9,270,452,323,1,1,1,0.087,1.27,0.4,3,4,4,7,210,50
2371,GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,ANDHRA PRADESH,23,28,25.9,4.8,6,5.4,7,7.8,7.4,264,420,340,1,1.2,1.1,0.1,0.9,0.5,4,240,45,4,2400,1263
1219,"GODAVARI AT RAJAHMUNDRY D/S, A.P.",ANDHRA PRADESH,21,27,25.4,5,6.2,5.5,6.8,8.2,7.8,227,301,258,1,1,1,0.02,1.28,0.4,4,150,46,21,2400,340
